1,1
2,2
3,2
4,3
5,4
6,4
7,5
8,6
9,6
10,8
11,8
12,9
13,11
14,11
15,11
16,12
17,14
18,14
19,16
20,16
21,17
22,18
23,18
24,19
25,19
26,22
27,23
28,23
29,23
30,24
31,24
32,25
33,26
34,26
35,27
36,27
37,29
38,29
39,31
40,32
41,32
42,33
43,33
44,35
45,35
46,35
47,36
48,37
49,37
50,37
51,37
52,38
53,39
54,39
55,39
56,40
57,40
58,40
59,40
60,41
61,41
62,41
63,43
64,43
65,45
66,45
67,46
68,46
69,49
70,52
71,53
72,54
73,54
74,55
75,55
76,55
77,56
78,56
79,57
80,57
81,58
82,58
83,59
84,59
85,60
86,60
87,60
88,61
89,62
90,63
91,64
92,64
93,65
94,65
95,66
96,67
97,68
98,69
99,69
100,70
101,70
102,71
103,71
104,72
105,72
106,73
107,73
108,75
109,76
110,76
111,77
112,77
113,78
114,79
115,79
116,79
117,80
118,82
119,82
120,83
121,83
122,83
123,84
124,84
125,85
126,86
127,86
128,87
129,87
130,87
131,88
132,88
133,91
134,92
135,92
136,92
